id,question,chapter,rightanswer,wronganswer1,wronganswer2,wronganswer3,wronganswer4,explanation,bookmark,bookinComp,bookTime,rese,wronganswer5
953,It is important to have a high index of suspicion when evaluating pediatric patients for shock because: ,22,they may exhibit few signs and symptoms until they have lost a large portion of their blood volume,"they are all different, so what is normal for one patient may not be normal for another",they cannot be given oxygen at high flow rates,they will rarely cooperate with you,,Pediatric patients may not exhibit any signs or symptoms of shock until 50 percent of their blood volume is depleted. It is for this reason that it is important to have a high index of suspicion for pediatric trauma patients. ,,,,,
954,Which of the following is not a complication commonly associated with shock?,22, Eupnoea, Acute Renal Failure, Acute Respiratory Distress Syndrome, Coagulopathy,,"ARDS, abnormal clotting of blood, and organ failure are all associated with shock. Early recognition and intervention are important in preventing these complications. Eupnoea is normal, good, unlabored ventilation, sometimes known as quiet breathing or resting respiratory rate",,,,,
955,Suctioning an infant’s airway should last: ,23,No more than 5 seconds,15 to 20 seconds ,5 to 10 seconds ,10 to 15 seconds ,,An infant’s airway shouldn’t be suctioned any longer than 5 seconds. ,,,,,
956,Capillary refill should be assessed in children what age and younger?,23,6,5,4,3,,Children 6 and younger should have a cap refill assessed.,,,,,
957,The difference between a near drowning and a secondary drowning is:,23,A near drowning is a survival beyond 24 hours and a secondary drowning is a rapid deterioration up to 96 hours later.,A near downing is a survival from any drowning and a secondary drowning is drowning after being rescued from a near drowning.,A near drowning is a survival up to 24 hours and a secondary drowning is a rapid deterioration up to 12 hours later.,"A near drowning is any situation that could have lead to a drowning death, and a secondary drowning is a death after an ice submersion.",,A near drowning is survival beyond 24 hours and a secondary drowning is a rapid deterioration up to 96 hours later.,,,,,
958,SIDS is the sudden death of an infant younger than 2 years old.,23,FALSE,TRUE,Only in infants with genetic defects. ,,,SIDS is typically a sudden death of an infant younger then 1 year.,,,,,
959,Which of the following body parts is most often injured in infants and children?,23,Head,Chest,Abdomen,Arms and legs,,"Due to the larger head in infants and children, it is frequently injured more than other areas of the body.",,,,,
960,Burns in infants and children should be covered with:,23,Dry sterile sheets,Wet sterile sheets,Occlusive dressings,Antiseptic cream,,Burns should be covered with dry sterile sheets.,,,,,
961,"Typically, the most lethal injuries sustained to children from child abuse are:",23,Head injuries,Burn injuries,Spinal injuries,Abdominal injuries,,Head injuries are the most lethal injuries in abuse situations.,,,,,
962,You respond to a call of a child who has a central line that is bleeding; your best course of action is to:,23,Apply direct pressure and transport,"Remove the line and transport, while applying pressure",Flush the line with saline,Allow the line to bleed and transport,,"If a child has a central line that is bleeding, it is best to apply pressure to the line and transport the patient immediately.",,,,,
963,Children up 12 months old can be referred to as:,23,Infants,Preschoolers,Toddlers,Neonates,,An Infant is any child up to 12 months old. Neonates are 1 month old and younger. ,,,,,
964,Which of the children below uses concrete thinking skills and believes he or she is invincible?,23,Adolescents,Preschoolers,Toddlers,School-age,,"Adolescents, or children between 12 years and 18, utilize concrete thinking and often believe they are invincible.",,,,,
965,The leading cause of cardiac arrest in children is:,23,Respiratory failure,Trauma,Genetic abnormalities,Drowning,,Respiratory failure is the leading cause of cardiac arrest in children.,,,,,
966,All of the following are signs of early respiratory failure in infants EXCEPT:,23,Bradypnea,Nasal flaring,Tachypnea,Intercostal retractions,,"Bradypnea, or slow breathing, is a late sign of respiratory failure.",,,,,
967,You arrive on scene to find a young child with stridor and pink coloring who is displaying retractions. The mother thinks that the child has something stuck in his throat. You should:,23,Begin transport of the child and place the patient on oxygen,Attempt to dislodge the foreign body,Administer back blows and transport if necessary,Do abdominal thrusts and transport if necessary,,This is a partial airway obstruction; place the child on oxygen and transport immediately.,,,,,
968,Which of the following is the least common cause of shock in children?,23,Cardiac event,Respiratory depression,Dehydration,Vomiting,Respiratory arrest,"Children rarely have cardiac events, and typically if their heart stops, the cause is respiratory arrest first.",,,,,
969, Which of the following would indicate shock in a 9-year-old patient?,23,Rapid respiratory rate,A pulse of 80,Capillary refill less then 2 seconds,A bounding pulse,,A rapid respiratory rate may be one of the first signs that a child patient is in shock.,,,,,
970,Which of the following is a common cause of seizures in children?,23,Fevers,Toxicity,Overdose,Hypoglycemia,,Fevers can be a common cause for seizures among children.,,,,,
971,The leading cause of death in children from 1 to 14 is:,23,Trauma,Drowning,Respiratory ailments,Cardiovascular disease,,Trauma is the leading cause of death for children age 1 through 14.,,,,,
972,You are caring for a neonate whom you feel is not responding adequately. Which of the following would lead you to believe the child requires aggressive resuscitation?,23,A respiratory rate of 64 times a minute,An APGAR score of 7,A heart rate of 164 times a minute,Cyanotic extremities with a pink core,,"Infants will breath at a very rapid rate, but 64 times a minute is much too fast. The other options are abnormal, but do not necessarily require aggressive resuscitation.",,,,,
973,"Compared to adults, which of the following will complicate caring for a child’s airway?",23,Head size,A pliable chest cavity,A smaller nasopharynx,A larger jaw,,"Compared to adults, a pediatric patient’s head is much larger. This means that when the child is lying flat, the airway can be partially occluded and can lead to complications in managing it. A good way to work around this problem is to pad underneath the child’s shoulders to allow the head to tilt back a little.",,,,,
974,The purpose of using a tongue depressor while inserting an oral airway into a pediatric airway is so:,23,It will manually displace the tongue and get it out of the way,It will reduce trauma to the oropharynx,It ensures that there is no gag reflex present,It will cause the patient to accept the OPA more readily,,The primary purpose of the tongue depressor is to manually displace the tongue and get it out of the way for the OPA. Otherwise the OPA might push the tongue further down into the airway. ,,,,,
975,You are called to the scene of a patient who is 15 weeks pregnant. She is complaining of abdominal pain and severe bloody discharge. You suspect:,23,Spontaneous abortion,Menstrual cycle,Premature delivery,Placenta previa,,"At 15 weeks, there is no chance of infant survivability, and this case would most likely be considered a spontaneous abortion.",,,,,
976,A woman whose baby is presently half way out of the birth canal would be said to be in which stage of labor?,23,2nd stage,3rd stage,1st stage,,,The second stage ends with the delivery of the baby.,,,,,
977,"You respond to a 4-year-old child who is having difficulty breathing. You notice that the patient is ashen in color, not very responsive, and is taking shallow breaths. Which of the following should you do?",23,Start positive pressure ventilation,Put the patient on a non-rebreather mask with high flow oxygen,Attempt to place an OPA,Transport the patient immediately,,"Since the patient is not responding appropriately, this is a true respiratory emergency. Positive pressure ventilation should be initiated immediately.",,,,,
978,"After delivering a baby and drying it off, you assess the baby as bluish in color with a heart rate of 100 beats a minute, and there is only minimal grimacing. You should deal with this by:",23,Initiating positive pressure ventilation,Start CPR immediately,Provide blow by oxygen and then reassess,Stimulate the infant by rubbing his back and flicking his toes,,"If you have dried the baby off and provided the initial attempt to stimulate the baby with little result, you should initiate positive pressure ventilation.",,,,,
979,There is only one situation in which you should delay warming and stimulating a new infant. ,23,TRUE,FALSE,Depends on local protocols,While driving into the hospital,,The only instance in which an EMT should delay warming and stimulating an infant is if there is meconium staining present; the EMT should then attempt to clear the airway first.,,,,,
980,At what stage is the fetus most susceptible to maternal habits?,23,The embryonic stage,The fertilization stage,The fetal stage,The second trimester,,"The embryonic stage, often a stage where the mother does not know she is pregnant, is most susceptible to maternal habits affecting the fetus. This is the stage where cellular division is most rapid.",,,,,
981,A pregnant female might not show signs of shock as soon as she once would have because:,23,The body has much more blood now that she has gained weight,The body is prepared for a traumatic event,The body is more worried about the fetus than it is the mother,The body has increased vascular tone due to the pregnancy,,"A pregnant woman can increase her blood volume as much as 40% due to the pregnancy;  because of this, the body has much more blood and can delay the signs of shock.",,,,,
982,One of the following is NOT appropriate when assessing a toddler:,23,Assess the patients head first,Do not lie to the patient,Explain what you are doing,Allow the patient to sit on the parents lap,,When assessing a toddler it is best to start away from the head as they are often fearful of things and people that they do not know. ,,,,,
983,There is a soft spot on an infants skull what is it?,23,Fontanelle,Shunt,Occipital,Depression,,"The soft spot on an infants skull is called a fontanelle. The fontanelle my give clues to how the infant is doing, for instance, a sunken fontanelle can indicate dehydration in an infant and a bulging one can indicate swelling around the brain. ",,,,,
984,You are treating an infant patient that is breathing rapidly through his nose after suffering a seizure. This is:,23,Not concerning as infants typically breath through their noses,Not concerning because infants rarely have seizures,Concerning because infants typically breath through their mouth,Concerning because infants wake up immediately after a seizure and are crying,,"Although a seizure in an infant may be concerning they don't wake up immediately, and infants can have seizures just like anyone else. Infants typically breath through their noses so this particular assessment is not concerning. ",,,,,
985,It is dangerous to suction an infants airway for longer than needed because:,23,It can stimulate the vegas nerve and lead to cardiac arrest.,It can lead to dangerous gag reflex activation.,"It is NOT dangerous, it is more important to keep the airway clear.",It can cause them to wake up.,,"It is very important to keep an infants airway clear of secretions and even more important, vomit. However, prolonged suctioning can stimulate the vegas nerve, leading to severe bradycardia and ultimately cardiac arrest. ",,,,,
986,The difference between how you insert an Oral Airway in a 5-year-old and an adult is: ,23,In a child you insert the OPA in the same direction you want it to end up in. ,In a child you insert the OPA upside-down and flip it once you've made it half way in.,You insert it the exact same way as you would for an adult.,You would not use an OPA in a child.,,"Flipping an OPA over, as you would with an adult patient, can tear a child's soft palate. Therefore, insert the OPA in the same direction you want it to rest in the child's mouth. ",,,,,
987,Proper treatment for an infant that you suspect of a high fever is: ,23,Monitor for shivering while cooling with tepid water,Submerge the infant in cold water immediately,Use rubbing alcohol to cool the patient,Soak a towel in ice water then cover the infant with the towel,,"All of the options are not advisable except to monitor for shivering while cooling with tepid water. The rubbing alcohol can be absorbed by the skin, and the other options will cause shivering which will have the opposite desire effect. ",,,,,
988,An infant that has swallowed a lot of aspirin is in danger of all of the following EXCEPT: ,23,Dehydration,Coma,Shock,Seizures,,An aspirin overdose would not cause dehydration. You must monitor for the other options. ,,,,,
989,Infants and children are at risk for meningitis between 1 month and:,23,5 years,3 years,1 year,6 months,,The majority of meningitis cases are between 1 month and 5 years in children. ,,,,,
990,"You are treating a 7 year-old child that fell off of his bike with a helmet on. He has no visible broken bones, but seems confused, a little pale and is breathing rapidly. How is this patient classified and what should you do?",23,This is a priority patient: A bag valve mask and high flow oxygen. ,This is a priority patient: spinal immobilization and rapid transport.,This is a low priority patient: he is no doubt confused from hitting his head.,This is a low priority patient: but rapid transport is still necessary. ,,"Spinal immobilization and rapid transport are good ideas with this patient. However, what he needs is assistance breathing with oxygen. He is currently exhibiting signs of shock and should be managed aggressively. ",,,,,
991,Why are infants more likely to become dehydrated than other patients?,23,A greater percentage of their body mass is water. ,They aren't able to drink or tell others that they are thirsty.,They have less water in their body to use.,A smaller portion of their body mass is water.,,"A child has a greater amount of water in their body compared to adults proportionally. This means that they need more water to function normally, and are more susceptible to becoming dehydrated. ",,,,,
992,A child that is hypoxic you would expect to see:,23,A slowed heart rate and altered mental status.,A rapid heart rate and flushed skin.,Increased heart rate and decreased respiratory rate.,Flushed skin and a slowed respiratory rate. ,,"Children that are hypoxic are entering shock, and you would expect to see: pale, cool, diaphoretic skin tone, increased heart and respiratory rate, decreasing mental status, until the point of coma, then death. ",,,,,
993,Which of the following is a common cause of shock in infants and children?,23,Diarrhea and vomiting that leads to dehydration,Allergic reactions,Cardiac events,Poisoning,,"The most common causes of shock in infants are infection, trauma, blood loss and dehydration. ",,,,,
994,One of the following IS a common cause of shock in an infant:,23,Croup,Allergic reactions,Cardiac events,Poisoning,,"The most common causes of shock in infants are infection, trauma, blood loss and dehydration. Croup is a serious respiratory infection that can lead to shock in small children. ",,,,,
995,"You have responded to a residence where a young mom explains that her child is not responding correctly, has not wet a diaper in several days and no longer has tears when crying. You would suspect that this child is suffering form:",23,Dehydration,Croup,Epiglottitis,Poisoning,,"A child that has decreased urine output, no tears when crying, and not responding appropriately is suffering from a severe case of dehydration. Immediate transport and advanced care is necessary. ",,,,,
996,"The inflammation of the upper airway and bronchi which often produces a ""seal bark"" cough is called:",23,Croup,Epiglottitis,Asthma,Bronchitis,,"Croup is an upper airway disease, that often causes patients to have a ""seal like bark"". Epiglottitis will usually produce more drooling and less coughing. Both asthma and bronchitis are lower airway diseases. ",,,,,
997,Vertigo is: ,24,A feeling by a patient that the room or environment around them is spinning ,"A steady decline in mental function, accompanied with the inability to concentrate or focus","An acute change in mental status, accompanied by the inability to concentrate or appropriately interact with one’s surroundings",An event linked to getting older,,Vertigo is a sensation or feeling by a patient that the room or environment is spinning around them. ,,,,,
998,Dementia is:,24,"A steady decline in mental function, accompanied by the inability to concentrate or focus",A feeling by a patient that the room or environment around them is spinning,"An acute change in mental status, accompanied by the inability to concentrate or appropriately interact with one’s surroundings",An ailment that only affects Alzheimer's patients,,"The primary difference between dementia and delirium is that dementia is a steady decline in cognitive function, while delirium is a rapid one. The other option is vertigo.",,,,,
999,Delirium is:,24,"An acute change in mental status, accompanied by the inability to concentrate or appropriately interact with one’s surroundings",A feeling by a patient that the room or environment around them is spinning,"A steady decline in mental function, accompanied by the inability to concentrate or focus",An ailment that only affects Alzheimer's patients,,"The primary difference between dementia and delirium is that dementia is a steady decline in cognitive function, while delirium is a rapid one. The other option is vertigo.",,,,,
1000,The main difference between a TIA and a stroke is:,24,"A TIA resolves quickly, but a stroke can last up to a day","A TIA is a blood clot in a brain artery, and a stroke is a bleed in the brain","A TIA leaves permanent damage, but a stoke can resolve ","A TIA can resolve quickly but usually doesn't, and a stroke will leave permanent damage",,"The main difference between a TIA and a stroke comes down to timing. A stroke is much more severe and will last much longer than a TIA. Both a TIA and a stroke can be caused by bleeds or clots, and usually TIAs leave no permanent damage; sometimes strokes can resolve as well.",,,,,
1001,All of the following are normal changes in the cardiovascular system as people grow older EXCEPT:,24,The blood gets thicker,The amount of blood ejected with each heart beat declines,The force of the heart’s contraction declines,Irregular beats in the heart are common,,The blood of elderly patients is not necessarily thicker than that of younger patients.,,,,,
1002,Which of the following statements about geriatric patients and heart attacks is true?,24,Elderly patients are more prone to non-specific and vague symptoms.,Elderly patients usually do not survive heart attacks.,Elderly patients typically have more pain due to the strain that it puts on their heart.,Elderly patients usually experience small heart attacks more frequently.,,"Typically, elderly patients have vague symptoms when it comes to heart attacks.",,,,,
1003,"If an elderly patient has a TIA, he or she will soon have a stroke.",24,FALSE,TRUE,A stroke and a TIA are the same thing.,,,"While patients who experience TIAs will be more prone to a full stroke soon, it does not necessarily mean that they WILL have a stroke.",,,,,
1004,Elderly patients are less likely to commit suicide.,24,FALSE,TRUE,Depends on the area and lifestyle.,,,It is estimated that as many as 25% of all suicides committed are people over the age of 65.,,,,,
1005,Elderly patients are more likely to be successful at committing suicide than younger patients.,24,TRUE,FALSE,Depends on the area and lifestyle.,,,"Typically, elderly patients do not make suicide gestures, or use suicide as a way of calling for help. Therefore, when an elderly patient attempts suicide, they are typically successful.",,,,,
1006,All of the following are physiological reasons why elderly patients have difficulty controlling body temperature EXCEPT:,24,Some elderly patients cannot afford heating and cooling systems. ,Their blood vessels are impaired from dilating like they used to.,Many of their medications can interfere with their ability to adapt.,Sometimes chronic illness can cause them to lose control of body temperature.,,Inability to afford heating and cooling systems frequently results in difficulty controlling body temperature for elderly patients; this is a social factor not a physiological one.,,,,,
1007,"Due to spinal deformities, elderly patients are not spinally immobilized.",24,FALSE,TRUE,Depends on local protocols,,,"At times, there can be elderly patients who are so deformed that they cannot be put on a traditional backboard.  However, most elderly patients can be placed in full spinals with some adjustments, such as pillows for padding, or rolled towels or blankets to lift the head to an appropriate position.",,,,,
1008,Elderly patients do not typically feel pain more acutely than younger patients.,24,TRUE,FALSE,It depends on their cognitive decline. ,,,"Due to less responsive nerves, elderly patients will not necessarily feel pain as acutely as they used to. This is an important concept for an EMT to remember as you see elderly patients who have fallen or are involved in other traumatic situations.",,,,,
1009,"You are at the scene of an elderly patient who is being cared for by his family. You notice that the patient appears to have bed sores, is sitting in a dirty diaper, and seems to be undernourished. Upon arrival to the hospital, you should:",24,Report that you suspect abuse.,Report that the patient is being abused.,Report that the patient is not being taken care of appropriately.,Report that the family should not be allowed to take care of the patient.,,"An EMT’s job is not to decide on what is abuse and what isn’t; however, it is your job to report what you see and what you suspect.",,,,,
1010,"You arrive on scene of a cancer patient in hospice care who recently has been difficult to wake up. As you arrive, so does a hospice worker.  Which of the following is your best course of action?",24,Discuss the best care options with the hospice care worker.,Tell the family that you are in charge and that the hospice worker will have to listen to you.,Leave the scene; the patient is now in the care of the hospice worker.,Tell the hospice worker that you are at their disposal.,,"If a patient is in hospice care, he or she should have a DNR and decisions about care are partially made by hospice workers. You should neither tell the hospice worker that you are making the decisions nor wait outside; coming to a joint decision is the best case situation and best for the patient.",,,,,
1011,"Which of the following conditions are frequently experienced by the elderly and cause a loss in vascular tone, often resulting in dizziness upon standing?",24,A drop in baroreceptor sensitivity,Frequent dehydration,Blood vessel thinning,Inability to compensate for changes in blood pressure,,This condition is called syncope and frequently occurs in the elderly because of a drop in baroreceptor sensitivity. Baroreceptors are found in the large arteries and regulate a patient’s blood pressure.,,,,,
1012,Cardiovascular changes that occur because of aging include: ,24,increased blood pressure in response to increased vascular resistance. ,increase cardiac output due to hypertrophy. ,increased cardiac conductivity resulting in a faster heart rate. ,increased pain sensitivity due to thinner skin and reduced fat storage. ,,"Typically, as a person ages, blood pressure increases in response to decreased vessel elasticity and increased vascular resistance. All of the other options are the opposite of the normal aging process. ",,,,,
1013,The slowing of reflexes is typically due to:,24,the degeneration of nerve cells.,the degeneration of muscle responsiveness.,the degeneration of muscle elasticity.,the degeneration of the brain’s mass and weight.,,"Slowing reflexes are a result of the degeneration of nerve cells, not of muscle degeneration. The brain’s mass and weight typically do not matter in terms of the responsiveness of reflexes.",,,,,
1014,Which of the following best describes the changes related to the renal system in the elderly?,24,It is common for the elderly to suffer from drug toxicity if they take too much medication because they can’t excrete it as quickly. ,The kidneys grow more nephrons to counteract decreased function.,"The renal system filters more slowly, so elderly patients will not become dehydrated as quickly.","In response to decreased function, the renal system will attempt to retain too much water, causing the patient to become hypertensive.",,"Elderly patients frequently suffer from drug toxicity because of decreased renal function. This can cause medications to build up in the blood, while younger patients would have excreted them sooner. Typically, the kidneys do not grow more nephrons in response to decreased function, and elderly patients can become dehydrated more quickly as a result of decreased function because they will lose more water than they should.",,,,,
1015,"Generally speaking, geriatric patients:",24,abuse alcohol more than other groups.,do not commit suicide.,suffer from less depression than other groups.,are more sensitive to pain than other groups.,,"Geriatrics will typically abuse alcohol more than other groups. They also experience more depression, and are less sensitive to pain than other groups. Geriatrics are also at a high risk for suicide.",,,,,
1016,A geriatric patient with congestive heart failure (CHF) will most likely want to be transported how?,24,Sitting up; this position allows for easier breathing.,Lying down; this position allows for easier breathing.,"In the shock position, with legs up; this position allows fluid to drain from the patient’s legs.",On their side; this allows fluid to drain out of the mouth.,,"CHF can cause pooling of fluid in the lungs.  For this reason, it is easier for a patient to be sitting up, where fluid can drain to the bottom of the lungs rather than pool all over the lungs as if they were lying flat. Frequently, patients with severe CHF will sleep sitting up to aid in their breathing.",,,,,
1017,"You are called to the home of an elderly male patient. He states that he has a history of COPD, and was just released from the hospital for routine surgery. He called 911 because suddenly, he could not breathe and his chest hurts. He has used his inhaler several times, which usually helps, but in this case, he does not seem to be improving. Which of the following is concerning about this situation to you?",24,The recent surgery and quick onset of breathing difficulty,The history of COPD along with no relief from the inhaler suggests that this COPD exacerbation could be worse than others,The frequent use of the inhaler with no relief means that the patient’s mouth needs to be rinsed and reattempted,The inhaler must be ineffective because it is expired,,"The recent surgery, along with a quick onset of difficulty breathing, indicates that this patient might be experiencing a PE, rather than his usual COPD exacerbation. This would explain why his inhaler is not helping. Treatment would include high flow O2 and rapid transport. Other indicators for the PE would include pinpoint chest pain, recent travel, or a prolonged sedentary lifestyle.",,,,,
1018,You are called to the home of an elderly patient who is unconscious and was complaining of a headache just before you arrived. Which of the following should you NOT do?,24,Delay transport to fully assess the patient and obtain any of the patient’s medications,"Immediately transport, forgoing any medication gathering",Obtain the time that the headache started,Do a rapid medical assessment and rapidly transport,Ensure that the patient is getting high flow O2,"The patient above is at high risk of having a stroke and the unconsciousness indicates that there is not much time. Quickly transport the patient.  If they are readily available, bring medications and medical history along with you, but not at the delay of transport. Ascertaining the start time of the headache might give the hospital an idea of when the stroke started.",,,,,
1019,A drop in baroreceptor sensitivity can cause a drop in systolic blood pressure and an elevation of the heart rate when an elderly patient goes from lying down to a standing position.  This condition is known as:,24,orthostatic hypotension.,supine hypotension.,hypovolemic hypotension.,hemiovolemic hypotension.,,Orthostatic hypotension will allow a drop in systolic blood pressure and an elevation of the heart rate when the patient goes from lying down to a standing position.,,,,,
1020,The characteristic curvature of the spine that is caused by narrowing of the vertebral disks in an elderly patient is known as:,24,Kyphosis,Osteoporosis,Spineosis,Lumbar stenosis,Cervical stenosis,"Kyphosis is curvature of the spine that is caused by narrowing of the vertebral disks, and is frequently seen in elderly patients.",,,,,
1021,"You are called to a private home where a 92-year-old man is experiencing a severe squeezing chest pain in his left chest that radiates to his left jaw and shoulder. He is prescribed nitroglycerin, but has not taken any yet. He is also on a daily aspirin regimen, which he just took with his morning medications. His pulse is 90, BP 88/64, respirations 26, and skin is pink, warm, and dry. After giving oxygen therapy, performing a focused physical assessment, and obtaining OPQRST and SAMPLE history, you should next?",24, Transport immediately, Call medical direction for permission to administer one tablet of nitroglycerin, Call medical direction for permission to administer one tablet of aspirin, Transport immediately and treat for cardiogenic shock by raising the patient's legs,,"Nitro cannot be given because the patient's systolic BP is under 90. Aspirin cannot be given because the patient is already on a daily aspirin regimen. Cardiogenic shock should not be treated by raising the patient's legs because this would send blood rushing to the heart, which would put more pressure on the heart.",,,,,
1022,Which of the following best describes an EMT’s role on scene of a vehicle extrication?,25,Taking care of the patient in whatever way is safe and directed by the on-scene officer,Assisting the fire department with whatever they need until the patient is turned over to you,Advocating for the patient as soon as you arrive on scene ,Giving the rescue team advice on which way would be best for the patient to exit the vehicle,,"If a patient is trapped in a vehicle, that patient is in the care of the team that is doing the extricating. If the on scene officer instructs you to stay away from the patient, that “should” be in the patient’s, and your, best interest. If it is safe and possible for you to initiate patient care while the patient is still pinned, then the on-scene officer should know that and instruct you to do so. ",,,,,
1023,"Once it is appropriate to approach a patient who is trapped in a vehicle, it is best to approach:",25,From the front of the vehicle,From the rear of the vehicle,From the passenger side of the vehicle,From the driver side of the vehicle,,"Usually, it helps the patient if you approach from the front of the vehicle so that they can see you coming and expect your arrival; it can also aid the patient in not turning their head after a high velocity crash.",,,,,
1024,"While you are extricating a patient from a vehicle, it is a good idea to do all of the following EXCEPT",25,Have the patient lie sideways across a bench seat,Tell the patient everything that you are going to do so they know what to expect,Tell the patient to focus on something directly in front of him or her,Look the patient directly in the eyes,,Never ask a patient who you are extricating from a vehicle to move or do anything that you cannot support with inline stabilization. Having the patient lie flat on a car seat makes it difficult to maintain proper in line stabilization.,,,,,
1025,"Dispatch tells you that you are responding to a scene that has a party trapped in a vehicle.  Immediately, you should start thinking about:",25,Scene safety,Stabilizing the patient,Gaining access to the patient,Body substance isolation,,"Before you arrive at any call, you should begin to consider scene safety. Making decisions about anything else, other than BSI, should be accomplished on scene.",,,,,
1026,"After gaining access to a hard to reach patient who was involved in a bad accident, you should immediately:",25,Stabilize the C-Spine,"Attempt to arouse the patient, checking mental status",Apply high flow O2 to fill the patient’s lungs with oxygen,Extricate the patient,,"In this situation, it is important that your first step be to stabilize the spine, especially if the patient is unconscious and cannot tell you what is wrong.",,,,,
1027,What is the definition of extrication?,25,The removal of a patient from entanglement in a safe and appropriate manner,The removal of objects from around the patient,Safe removal of a patient from an auto accident,Forcing access to a patient through auto destruction,,Extrication would be defined as the removal of a patient from entanglement in a safe and appropriate manner; this could be utilized in an auto accident or other scenario.,,,,,
1028,Disentanglement is:,25,The removal of objects from around the patient,The removal of a patient from entanglement in a safe and appropriate manner,Safely removing the patient from an auto accident,Forcing access to a patient through auto destruction,,Disentanglement is the removal of objects from around a patient.,,,,,
1029,Which of the following SHOULD be responsible for the removal of a patient in a special rescue situation?,25,The incident commander,All of the answers are correct,The EMT caring for the patient,The most senior EMT on scene,The fire department,"Ultimately, the person responsible for removal of a patient in a special rescue situation should be the incident commander (in most situations).",,,,,
1030,An EMT’s primary responsibility at a special rescue scene is:,25,Personal safety,Patient care,Being a patient advocate,Triage,,"An EMT’s primary responsibility at any scene is personal safety; the other options are important, but should be addressed later.",,,,,
1031,All of the following are examples of frequent hazards found at vehicle crashes EXCEPT:,25,Building collapse,Post-crash delayed airbag deployment,Fire,All of the answers are correct,Broken glass,"Generally, building collapse is not a hazard found at most vehicular accidents. ",,,,,
1032,"While on scene of a motor vehicle crash, you crawl into a car to take C-spine for a patient. As you do, you notice that the front and side airbags were not deployed during the crash. Which of the following should you do?",25,Disconnect the battery by cutting or pulling off the black wire,Put the parking break on,Take the keys out of the ignition and shut the car off,Retreat until the fire department arrives,There is nothing to worry about; continue providing care.,"Airbags can deploy long after a crash, and have even been responsible for harming rescuers. To deactivate them properly, you must disconnect the battery by cutting or pulling off the black wire.",,,,,
1033,"At the scene of a hazardous response where a Hazmat team has yet to arrive, you should direct bystanders to: ",25,Move uphill ,Move downwind ,Turn off any electronic device ,Run from the scene ,,"At a Hazmat incident, to protect yourself and others, attempt to stay uphill, upwind, and away from the scene. ",,,,,
1034,"If you are the first person to arrive at a hazardous materials scene, your primary objective should be to:",25,Protect yourself and any bystanders from being contaminated,"Rescue anyone who has become debilitated, if you can do so without being contaminated",Identify the material if possible so that responding units know what to expect,Never respond to a hazardous materials scene until the Hazmat team has already arrived and controlled the scene,,"If you are the first to arrive at the scene of a hazardous materials incident, your first priority should be to not contaminate yourself or others. If possible, direct non-contaminated people uphill and upwind of the incident, but do not attempt to rescue people, even if you think you can do so without contaminating yourself. The victims will have contaminates on them which could debilitate you as well, even if they’ve left the hot zone.",,,,,
1035,The area of a hazardous materials incident that is limited to treatment of life-threatening conditions only is the:,25,Hot zone,Warm zone,Cold zone,Staging zone,Medical zone,The Hot Zone is the area where contamination is currently present.  Treatment is reserved for life-threatening conditions only in the hot zone.,,,,,
1036,"You are the senior EMT-B on your rig.  When you are the first to arrive at a large MCI, you will automatically be designated the:",25,EMS Incident Manager until the IC relieves you of this duty,Incident Commander until someone of higher rank arrives,Treatment Center Commander until you are relieved of duty,Triage Officer until someone of higher rank arrives,,"At an MCI, you will immediately be designated the EMS Incident Manager until you are relieved of duty by the IC.",,,,,
1037,"You are called to the scene of a possible terrorist attack. On your way there, you determine that you should:",25,Approach from uphill and upwind if possible,Not respond in until an IC tells you that it is safe,Attempt to direct the walking wounded to a safe place,"Assume that this is a terrorist attack and that if you are going to be safe, you should wait for patients to be brought to you.",,"If you are dispatched to a terrorist attack and there is not a designated EMS staging area yet, you should attempt to respond from an upwind and uphill position until details of the incident are known and the IC has established an EMS staging area.",,,,,
1038,"On the scene of an MCI, you are directed to do triage. You encounter a patient who is not breathing.  You attempt to open the airway, but the patient still does not breathe. You should now:",25,Assume that nothing can be done for this person,Provide one rescue breath and reevaluate,Assess the patient’s pulse to see if there are signs of life,Tag the patient red and then move on quickly,,"In this situation, the patient should be tagged as black and then you should quickly move on.  While it is never easy to assume that nothing can be done, there are other patients who need help and you should not spend excessive time on one who is not breathing.",,,,,
1039,"While responding to a scene, you are following another ambulance with lights and sirens going. Which of the following is good practice?",25,Attempt to position your ambulance in a way that motorists could easily see both of you at a quick glance.,Have your siren going at the same frequency as the other ambulance,Follow closely to the other ambulance so that you are essentially responding as one unit,Follow the other unit discretely with your siren off,,"If you are responding with another unit, make every effort to respond separately so that motorists know that there are two responding units.",,,,,
1040,Which of the following would be helpful at a Hazmat scene?,25,All of the answers would help,CHEMTREC,Placards,Emergency Response Guidebook,Shipping papers,All of the answers could provide information about a hazardous material.,,,,,
1041,"In the incident management sector, which of the following is NOT a recognized EMS sector?",25,Operations,Triage,Staging,Transportation,Extrication,Operations is a larger NIMS sector which would be above the EMS sectors.,,,,,
1042,"Of the following examples, which would not allow for the incident management system?",25,None of the answers are correct,A brush fire,A single vehicle accident,A SWAT callout,A house fire,"While a single vehicle accident probably doesn't need the incident management system, there is no time at which the incident management system cannot be activated.",,,,,
